rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
316,0.0,gradient_boosting,0.02631578947368418,1.343397855758667,193,0.026666666666666616,0,1736229632.5522337,1736229633.9103613,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
310,0.0,gradient_boosting,0.02631578947368418,1.3509984016418457,194,0.0,0,1736229636.813708,1736229638.183466,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
319,0.0,gradient_boosting,0.02631578947368418,1.3875956535339355,195,0.0,0,1736229641.535527,1736229642.942052,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
324,0.0,gradient_boosting,0.02631578947368418,1.2891108989715576,196,0.0,0,1736229646.2013335,1736229647.5080435,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Random Search (sorted)
328,0.0,gradient_boosting,0.02631578947368418,1.2768945693969727,201,0.0,0,1736229658.8873432,1736229660.1824985,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
330,0.0,gradient_boosting,0.02631578947368418,1.2064857482910156,202,0.0,0,1736229663.5335114,1736229664.75529,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
314,0.0,gradient_boosting,0.02631578947368418,1.1708574295043945,205,0.0,0,1736229670.5622392,1736229671.7496707,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
305,0.0,gradient_boosting,0.02631578947368418,0.9952027797698975,210,0.0,0,1736229680.3748105,1736229681.385014,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
334,0.0,random_forest,0.02631578947368418,1.3404202461242676,213,0.0,0,1736229684.0826468,1736229685.4369285,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Random Search
357,0.0,gradient_boosting,0.02631578947368418,1.1791346073150635,216,0.0,0,1736229691.5235515,1736229692.7204785,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
364,0.0,gradient_boosting,0.02631578947368418,1.207096815109253,218,0.0,0,1736229700.731463,1736229701.9531872,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
345,0.0,gradient_boosting,0.02631578947368418,1.1302249431610107,220,0.0,0,1736229706.1325629,1736229707.2794342,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
339,0.0,gradient_boosting,0.02631578947368418,1.2418391704559326,221,0.0,0,1736229710.415072,1736229711.6750972,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
359,0.0,gradient_boosting,0.02631578947368418,1.304772138595581,224,0.026666666666666616,0,1736229717.5308945,1736229718.8502362,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
199,0.0,gradient_boosting,0.02631578947368418,1.3399336338043213,225,0.0,0,1736229722.0856535,1736229723.4492445,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
238,0.0,gradient_boosting,0.02631578947368418,1.2531869411468506,226,0.013333333333333308,0,1736229726.903991,1736229728.1761954,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
197,0.0,gradient_boosting,0.02631578947368418,1.2489280700683594,227,0.0,0,1736229731.5124028,1736229732.7776031,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
70,0.0,gradient_boosting,0.02631578947368418,1.2614147663116455,231,0.0,0,1736229739.7680123,1736229741.0455885,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
62,0.0,gradient_boosting,0.02631578947368418,1.3599755764007568,241,0.0,0,1736229759.9906125,1736229761.3663015,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
60,0.0,gradient_boosting,0.02631578947368418,1.3182964324951172,244,0.0,0,1736229770.1807485,1736229771.5147412,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
59,0.0,gradient_boosting,0.02631578947368418,1.3332014083862305,245,0.0,0,1736229774.5385146,1736229775.8876874,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
198,0.0,gradient_boosting,0.02631578947368418,1.2176392078399658,246,0.0,0,1736229779.0306885,1736229780.2654154,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
57,0.0,gradient_boosting,0.02631578947368418,1.337646245956421,247,0.0,0,1736229783.6269217,1736229784.9800017,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
54,0.0,gradient_boosting,0.02631578947368418,1.298259973526001,250,0.026666666666666616,0,1736229790.6461935,1736229791.9606175,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
51,0.0,gradient_boosting,0.02631578947368418,1.410917043685913,253,0.0,0,1736229797.716406,1736229799.1463313,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
72,0.0,gradient_boosting,0.02631578947368418,1.3166675567626953,254,0.0,0,1736229802.4055574,1736229803.7384133,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Random Search (sorted)
97,0.0,gradient_boosting,0.02631578947368418,1.2477095127105713,257,0.0,0,1736229812.6980605,1736229813.9645853,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Random Search (sorted)
75,0.0,gradient_boosting,0.02631578947368418,1.2234554290771484,258,0.0,0,1736229817.204373,1736229818.443466,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
96,0.0,gradient_boosting,0.02631578947368418,1.292234182357788,260,0.0,0,1736229822.7550745,1736229824.0639522,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
93,0.0,gradient_boosting,0.02631578947368418,1.1462717056274414,265,0.0,0,1736229839.2951856,1736229840.4572608,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
91,0.0,gradient_boosting,0.02631578947368418,1.5469822883605957,268,0.0,0,1736229846.6220253,1736229848.1908135,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],none,Local Search
89,0.0,gradient_boosting,0.02631578947368418,1.250584602355957,270,0.0,0,1736229853.086119,1736229854.3517008,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
88,0.0,gradient_boosting,0.02631578947368418,1.2308268547058105,271,0.0,0,1736229857.2287147,1736229858.4772842,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
86,0.0,gradient_boosting,0.02631578947368418,1.1541402339935303,273,0.0,0,1736229866.1238601,1736229867.2926404,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
82,0.0,gradient_boosting,0.02631578947368418,1.2731902599334717,279,0.0,0,1736229881.0754728,1736229882.3640242,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
80,0.0,gradient_boosting,0.02631578947368418,1.2711176872253418,282,0.0,0,1736229887.862196,1736229889.1495671,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
77,0.0,gradient_boosting,0.02631578947368418,1.2531802654266357,286,0.0,0,1736229895.9839375,1736229897.2535298,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
20,0.0,gradient_boosting,0.02631578947368418,1.395920991897583,300,0.026666666666666616,0,1736229924.1802275,1736229925.5949516,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
18,0.0,gradient_boosting,0.02631578947368418,1.2003085613250732,302,0.0,0,1736229933.5068533,1736229934.7234921,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
15,0.0,gradient_boosting,0.02631578947368418,1.620659589767456,305,0.0,0,1736229940.4361706,1736229942.092226,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
10,0.0,adaboost,0.02631578947368418,1.07704496383667,311,0.0,0,1736229961.7882564,1736229962.87806,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
2,0.0,gradient_boosting,0.02631578947368418,1.3300838470458984,319,0.0,0,1736229978.4035802,1736229979.7530165,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
25,0.0,gradient_boosting,0.02631578947368418,1.257781982421875,326,0.0,0,1736229994.3112667,1736229995.584617,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_classification'],weighting,Local Search
44,0.0,gradient_boosting,0.02631578947368418,1.3490746021270752,329,0.0,0,1736230001.5498147,1736230002.9187346,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
43,0.0,gradient_boosting,0.02631578947368418,1.3146588802337646,330,0.0,0,1736230006.2472248,1736230007.5771554,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
38,0.0,gradient_boosting,0.02631578947368418,1.4550085067749023,339,0.0,0,1736230032.6691496,1736230034.1413825,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_classification'],weighting,Local Search
